galactic-gunners-founder-local  | 192.168.0.1 - - [24/Aug/2026:00:02:42 +0000] "GET /assets/images/owned/ui/gg_ui_sound_off_v002.png HTTP/1.1" 200 2041249 "http://localhost:8027/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36" "-"
galactic-gunners-founder-local  | 192.168.0.1 - - [24/Aug/2026:00:02:42 +0000] "GET /assets/images/owned/ui/gg_hud_life_icon_v002.png HTTP/1.1" 200 1096643 "http://localhost:8027/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36" "-"
galactic-gunners-founder-local  | 192.168.0.1 - - [24/Aug/2026:00:02:42 +0000] "GET /assets/images/owned/ui/gg_hud_nuke_icon_v002.png HTTP/1.1" 200 699192 "http://localhost:8027/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36" "-"
galactic-gunners-founder-local  | 192.168.0.1 - - [24/Aug/2026:00:02:42 +0000] "GET /assets/images/owned/sprites/gg_asteroid_v002_sheet.png HTTP/1.1" 200 1537409 "http://localhost:8027/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36" "-"
galactic-gunners-founder-local  | 192.168.0.1 - - [24/Aug/2026:00:02:42 +0000] "GET /assets/images/owned/sprites/gg_comet_v002_sheet.png HTTP/1.1" 200 1754203 "http://localhost:8027/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36" "-"
galactic-gunners-founder-local  | 192.168.0.1 - - [24/Aug/2026:00:02:42 +0000] "GET /assets/images/owned/branding/gg_game_over_panel_v002.png HTTP/1.1" 200 2308732 "http://localhost:8027/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36" "-"
galactic-gunners-founder-local  | 192.168.0.1 - - [24/Aug/2026:00:02:44 +0000] "GET /assets/fonts/display/GalacticGunnersDisplay-Regular-v1.3.woff2 HTTP/1.1" 200 11330556 "http://localhost:8027/assets/css/style.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36" "-"
galactic-gunners-founder-local  | 127.0.0.1 - - [24/Aug/2026:00:02:47 +0000] "GET / HTTP/1.1" 200 2166 "-" "Wget" "-"
galactic-gunners-founder-local  | 127.0.0.1 - - [24/Aug/2026:00:02:57 +0000] "GET / HTTP/1.1" 200 2166 "-" "Wget" "-"
galactic-gunners-founder-local  | 127.0.0.1 - - [24/Aug/2026:00:03:07 +0000] "GET / HTTP/1.1" 200 2166 "-" "Wget" "-"
