"Url","Status","ContentType","Length"
"http://localhost:8027/","200","text/html","2433"
"http://localhost:8027/favicon.ico","200","image/x-icon","766"
"http://localhost:8027/assets/images/owned/sprites/gg_boss_mothership_normal_v002_sheet.png","200","image/png","1631782"
"http://localhost:8027/assets/images/owned/sprites/gg_boss_mothership_hit_v002_sheet.png","200","image/png","973527"
"http://localhost:8027/assets/images/owned/sprites/gg_comet_v002_sheet.png","200","image/png","694282"
"http://localhost:8027/assets/images/owned/sprites/gg_nuke_projectile_v002_sheet.png","200","image/png","2061937"
