old_source_path,old_filename,new_canonical_path,new_filename,source_sha256,canonical_sha256,disposition,reason,registered_date
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/PROVENANCE/GLYPH_METRICS.json,GLYPH_METRICS.json,assets/source_evidence/fonts/title_v1.0/source_package/PROVENANCE/GLYPH_METRICS.json,GLYPH_METRICS.json,C8D6224D2B5569B503A7BB1A550521D0B6DFA90575413575EE1E6D537D241D15,C8D6224D2B5569B503A7BB1A550521D0B6DFA90575413575EE1E6D537D241D15,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/PROVENANCE/OWNERSHIP_DECLARATION.md,OWNERSHIP_DECLARATION.md,assets/source_evidence/fonts/title_v1.0/source_package/PROVENANCE/OWNERSHIP_DECLARATION.md,OWNERSHIP_DECLARATION.md,A6FF9B6A657E86C9AE600144B1A727F49DA731A751D429BE57867B571C4539A0,A6FF9B6A657E86C9AE600144B1A727F49DA731A751D429BE57867B571C4539A0,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/PROVENANCE/SHA256_MANIFEST.json,SHA256_MANIFEST.json,assets/source_evidence/fonts/title_v1.0/source_package/PROVENANCE/SHA256_MANIFEST.json,SHA256_MANIFEST.json,DF1F945C17BF775B2135AEAE27C50C489256520D491B24F0543AB32DA96B7758,DF1F945C17BF775B2135AEAE27C50C489256520D491B24F0543AB32DA96B7758,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/README.md,README.md,assets/source_evidence/fonts/title_v1.0/source_package/README.md,README.md,F268B1EDDD1C7A85AE229D66C65DEDAED86E79CA30CCC94E9907C68E9F2609CC,F268B1EDDD1C7A85AE229D66C65DEDAED86E79CA30CCC94E9907C68E9F2609CC,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/SOURCE/NORMALIZED_GLYPHS_MASK/0.png,0.png,assets/source_evidence/fonts/title_v1.0/source_package/SOURCE/NORMALIZED_GLYPHS_MASK/0.png,0.png,18C365EDDF1A8061A5901FEEC9ACD26A05F5B535C2B53B95C0FFF7AD57A2845C,18C365EDDF1A8061A5901FEEC9ACD26A05F5B535C2B53B95C0FFF7AD57A2845C,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/SOURCE/NORMALIZED_GLYPHS_MASK/1.png,1.png,assets/source_evidence/fonts/title_v1.0/source_package/SOURCE/NORMALIZED_GLYPHS_MASK/1.png,1.png,D7B22E871DE9D5F4D9F7782DD4352C82AA8388D34FAAF282939C2F47A317FEDA,D7B22E871DE9D5F4D9F7782DD4352C82AA8388D34FAAF282939C2F47A317FEDA,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/SOURCE/NORMALIZED_GLYPHS_MASK/2.png,2.png,assets/source_evidence/fonts/title_v1.0/source_package/SOURCE/NORMALIZED_GLYPHS_MASK/2.png,2.png,47E6B10063A6C8A0D161F02D649E2AC9B405D3F988A29F9411568101DAC54AC4,47E6B10063A6C8A0D161F02D649E2AC9B405D3F988A29F9411568101DAC54AC4,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/SOURCE/NORMALIZED_GLYPHS_MASK/3.png,3.png,assets/source_evidence/fonts/title_v1.0/source_package/SOURCE/NORMALIZED_GLYPHS_MASK/3.png,3.png,8FD6507B43105A6D253E423B31A91EA0A9BB78B729B963C4D37AEDE5E3A9A3EE,8FD6507B43105A6D253E423B31A91EA0A9BB78B729B963C4D37AEDE5E3A9A3EE,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/SOURCE/NORMALIZED_GLYPHS_MASK/4.png,4.png,assets/source_evidence/fonts/title_v1.0/source_package/SOURCE/NORMALIZED_GLYPHS_MASK/4.png,4.png,024AD09AA10803F7CDF723A1782DCB7EB67F8A7A55AB183F86E14E6436E3EE76,024AD09AA10803F7CDF723A1782DCB7EB67F8A7A55AB183F86E14E6436E3EE76,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
GalacticGunners/assets/fonts/GalacticGunners_Title_Font_v1.0_PRODUCTION_COMPLETE/GalacticGunners_Title_Font_v1.0_PRODUCTION/SOURCE/NORMALIZED_GLYPHS_MASK/5.png,5.png,assets/source_evidence/fonts/title_v1.0/source_package/SOURCE/NORMALIZED_GLYPHS_MASK/5.png,5.png,CFE5E91599578569FF426211A3F231F928CB4AF90BCCA3FC01A2419E20E6EA76,CFE5E91599578569FF426211A3F231F928CB4AF90BCCA3FC01A2419E20E6EA76,PATH_NORMALISED,Canonical project asset estate normalization under DEVTEAM_HANDOFF_IN_007.,2026-08-25
