"Path","Bytes","SHA256","Disposition"
"assets/images/starship.png","6268","730FE85FDA7C2CC58469F29F23CF34F4ABFE57465F73C1EAAF64D553A92D9720","REMOVED_SUPERSEDED_BY_FOUNDER_IP_FREEDOM_PACK"
"assets/images/yellow.png","3988","CC8E90A40ACBD0627A48EF0E149718621597BFB402692118E194689A68A354AC","REMOVED_SUPERSEDED_BY_FOUNDER_IP_FREEDOM_PACK"
"assets/images/ReadMeImages/headerTitle.png","46527","910DDBBA53359B68F6FC48FE3E27E4AD7CC1AD9825D4E8E95AED1A8FE53EB444","REMOVED_SUPERSEDED_BY_FOUNDER_IP_FREEDOM_PACK"
"assets/js/utils/align.js","505","FCDB0484FF08253F257B4B131BC1D6061BF93AD418AD0E89226C9234E6B5FDEB","REMOVED_SUPERSEDED_BY_FOUNDER_IP_FREEDOM_PACK"
"assets/js/utils/alignGrid.js","1755","1F466DE8A94F4E1B33929C771227E24306AC19A434C661AD2D2A6DB527BA66F8","REMOVED_SUPERSEDED_BY_FOUNDER_IP_FREEDOM_PACK"
"assets/js/utils/UIBlock.js","7758","955A3C630F29C96B5E9FE97B86C20D7995632B136A431A8A7A056FB2FEFBBB72","REMOVED_SUPERSEDED_BY_FOUNDER_IP_FREEDOM_PACK"
"testing\assets\audio\musicMainMenu.mp3","2452120","09D18882C8478E1A5D23F24ABD5DAE2CBF5F8052FB44B3D1DF6EDFF1459F49E9","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\audio\nukefiring.wav","71852","81E0515A67F07E6501583BBF7B355B9D8C41754066C2F720498D0EDD140D497A","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\audio\sndBtn.wav","13080","8AE7ED3508DE988E93AC6FE05F45D80824B9B32214D3315B2993949AE95DD479","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\audio\sndExplode.wav","56908","B2A46A673E9AA0664195886A5F1FE5A9F22D848CD73C35CA20E224D129C97C1B","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\audio\sndLaserEnemy.wav","13070","C0ACE0FB6766473AE6065762E9D0F44553506AAB61DD085D3D88D2DC0C3CEE0B","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\audio\sndLaserPlayer.wav","18732","3B21BFE8243B726F3C62E2B80C94E824F3163D3952798B03562B7B28679B6293","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\css\style.css","322","566BB06DE6F6EA8A02FE6E271E5A2E791978412EADDA24AEADBFAB04A38C4012","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\fonts\A.TTF","22460","F5DC750C4E50FE03DBFACB50043D5E6BD2CB03AD625EA795A6E80F060B312EC7","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\fonts\ARCADE.TTF","27700","7FBEABD03850EF969F439AF2D90E1B019DDF0E8F128A6BE4606CB9287FBE3F1C","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\fonts\ARCADEPIX.ttf","53160","120A8C83B0A2FF85FE16ED95CF87088D9A87BACE88D576DB49E1BCC7C47D3AC5","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\Alien-Destroyer-withexhaust-3frame.png","48338","140A0AC0C6422CCF31AE6D6C5C56E496B8D2FD2DD8228F704C3826EE4CA08FAF","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\alien.png","127459","57D4581B4898C2D9850BA6C9CECD431F0436E174DA59B6633BE00C1E07E34088","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\alienCruiser.png","71541","20765307DBBCA09EDC4107710CD1BD788D3590459F10B2D33321C12EDF5F5D67","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\AlienSkullCrossBonesWhite.png","28288","093B160A09BA51AB8B3B8D67407E392F75523AB12C72B666074D96AB45DFE497","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\asteroid.png","176356","FD309077AD2C82A6CB7062ACA0F6370EE92BBFEFBF31D5BCF7CE105B23EC51BA","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\comet.png","5255322","588C1E099AF85073123856E60CEEE660D750FFF78D9D9D92F861DAD2AE98EAC1","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\darkstars.jpg","305151","119AF1CFE62C49034DDF9A6E546398B8D697F38DC80956294DA9B77093700B65","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\explosion.png","881526","037DA233081CA7A693089D21B2174EB2436FE6BD778E731B4ABF317F69185768","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\fireworks.png","752953","9F3F865C527AC705D0B2D18C56E0C1F73192CEFB788E19B6CF849AA9F8652DBF","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\InfoWhite.png","34656","4A3BA6D2A394CFD97E2992EBCF3748EA9E34B04A032B9B6D2CF85B93E0D073DD","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\MotherShip-Flash.png","328066","03D4202DD84ED715838D435F71C1980569DA5F014F9C463F6F349F3D93A70A18","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\mute.png","9582","0E6CB965B9E2A812EEFD46899A7575428974C7A244A5E750E0FA8D646FEC63D0","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\pointericon.png","7393","6BDD8D8F8AAF3202409992038743F0F860A53AE44D3BCD2DEEE0FEE95342CE78","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\resume.png","2011","B4FCAE8341589C09B87C63974B901425F43978AD844D93B5EAFB398CF1674EAD","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\resumeHover.png","2171","0BEFEC729490FACE5278E53362E63D2544130884B80F6CA36F3B7F895E0A31A3","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\scifiwarriors.png","361502","627D2E9FA1AA2EE5B583BC51092B33D245C1A1D121A64FF2B82DC0A9BEC26261","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\scoutship.png","15164","C4E591AEA76A4866ACCDF57713C9929790BAF3657E30A9816407449A982FB7DA","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\sound.png","11612","13BE39B5152A7A19D771E2342520C9E1F094D2CF0DE317E5650B329D82028A53","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\spacesuit.png","190550","4307F90269E25F181C0C532B30FCD78D484CB245AB33028E08005D6B9FC62316","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\sprBtnPlay.png","6063","C73B1519DB865D12224FA9BD6DB2B338215050DB955C1A5C584543105A4A5D56","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\sprBtnPlayHover.png","568","F5C7BABD376112B6F0A8C4F5CB54E827B197EC0959E6D2E2E697BCFC8ED08AE7","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\sprEnemy0.png","238","640B6B3BEE35ADC0E8BEFEDE1E6615AED7C0803BBCFB55C332F5ED4FD0EE5A9C","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\sprExplosion.png","196962","B13223F479FF6A6FBA4479535DE47EF36B3FC5DCB4748E9333882DCA3BCE4BBD","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\sprLaserEnemy.png","80","11692F26A67230ACAC02452CCB87AC856C74ADDDD24A3DFB3EC485ADFF6E7A88","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\sprLaserPlayer.png","545","F3EC4B6BCED174F2F063936C46CE837EB2AA017E78B037164CE6A4003106EC0B","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\sprShieldTile.png","5566","36D7489D7707A1B705B13CB864DED28E28F5B30C63C262800F415DE1E71F4972","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\star.png","443","DF34F207257B1A77AC068DFE27F19C56BD68CFEBEF8223BCF4AAC95CEEA4989F","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\starship.png","16636","66E82432A99DCD1F01D7D92D9DD76362ED89B0C2AA70507F86A3A01277E8E536","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
"testing\assets\images\yellow.png","36252","10D5CC01195D121103C769100FC237A78E0911B5C1E2B5A808B6F5051C91A948","REMOVED_SUPERSEDED_UNUSED_TESTING_MIRROR"
